None: Sentiment Score = 0.46, PRs Contributed = 67
sjudd: Sentiment Score = 0.06, PRs Contributed = 439
asos-savvasdalkitsis: Sentiment Score = 0.46, PRs Contributed = 5
lalith-b: Sentiment Score = 0.23, PRs Contributed = 1
jschweitzer: Sentiment Score = 0.43, PRs Contributed = 1
vickychijwani: Sentiment Score = 0.20, PRs Contributed = 1
kanelbulle: Sentiment Score = 0.67, PRs Contributed = 3
hegazy: Sentiment Score = 0.73, PRs Contributed = 1
TWiStErRob: Sentiment Score = 0.36, PRs Contributed = 65
pavlospt: Sentiment Score = 0.25, PRs Contributed = 1
jisung: Sentiment Score = 0.25, PRs Contributed = 1
rejasupotaro: Sentiment Score = 0.23, PRs Contributed = 1
SeongUgJung: Sentiment Score = 0.12, PRs Contributed = 1
nemphys: Sentiment Score = 0.26, PRs Contributed = 2
zhywang: Sentiment Score = 0.48, PRs Contributed = 1
floating-cat: Sentiment Score = 0.44, PRs Contributed = 1
Tolriq: Sentiment Score = 0.33, PRs Contributed = 8
walmyrcarvalho: Sentiment Score = 0.66, PRs Contributed = 2
khorozco: Sentiment Score = 0.56, PRs Contributed = 1
mrhether: Sentiment Score = 0.75, PRs Contributed = 2
vbauer: Sentiment Score = 0.68, PRs Contributed = 2
conanoc: Sentiment Score = 0.66, PRs Contributed = 2
kojilin: Sentiment Score = 0.71, PRs Contributed = 8
kunny: Sentiment Score = 0.72, PRs Contributed = 2
emakar: Sentiment Score = 0.32, PRs Contributed = 1
josemontiel: Sentiment Score = 0.24, PRs Contributed = 1
vanniktech: Sentiment Score = 0.33, PRs Contributed = 3
start141: Sentiment Score = 0.33, PRs Contributed = 1
ened: Sentiment Score = 0.62, PRs Contributed = 1
swankjesse: Sentiment Score = 0.26, PRs Contributed = 1
frindly: Sentiment Score = 0.60, PRs Contributed = 8
alosdev: Sentiment Score = 0.59, PRs Contributed = 7
b95505017: Sentiment Score = 0.07, PRs Contributed = 1
jush: Sentiment Score = 0.42, PRs Contributed = 1
SpikeKing: Sentiment Score = 0.95, PRs Contributed = 1
aam: Sentiment Score = 0.63, PRs Contributed = 2
rwliang: Sentiment Score = 0.51, PRs Contributed = 6
FrancoisBlavoet: Sentiment Score = 0.63, PRs Contributed = 9
R4md4c: Sentiment Score = 0.63, PRs Contributed = 5
gfx: Sentiment Score = 0.41, PRs Contributed = 1
s1rius: Sentiment Score = -0.03, PRs Contributed = 1
Jekton: Sentiment Score = 0.66, PRs Contributed = 4
osama: Sentiment Score = 0.58, PRs Contributed = 5
Dimous: Sentiment Score = 0.44, PRs Contributed = 3
raycoarana: Sentiment Score = 0.18, PRs Contributed = 1
frannois: Sentiment Score = 0.77, PRs Contributed = 2
bjornson: Sentiment Score = 0.41, PRs Contributed = 1
kojiashida: Sentiment Score = 0.95, PRs Contributed = 1
jnlopar: Sentiment Score = 0.95, PRs Contributed = 2
falhassen: Sentiment Score = 0.32, PRs Contributed = 7
RiteshChandnani: Sentiment Score = 0.65, PRs Contributed = 2
alashow: Sentiment Score = 0.71, PRs Contributed = 2
hongsoojung: Sentiment Score = 0.67, PRs Contributed = 1
AlanCheen: Sentiment Score = 0.55, PRs Contributed = 1
zhang-honghao: Sentiment Score = 0.63, PRs Contributed = 1
christmasjason: Sentiment Score = 0.13, PRs Contributed = 1
omaraflak: Sentiment Score = 0.43, PRs Contributed = 1
liuhuiAndroid: Sentiment Score = 0.80, PRs Contributed = 1
SUPERCILEX: Sentiment Score = 0.39, PRs Contributed = 29
saschpe: Sentiment Score = 0.62, PRs Contributed = 1
ztang-zz: Sentiment Score = 0.24, PRs Contributed = 1
minas90: Sentiment Score = 0.53, PRs Contributed = 1
Codeintheory: Sentiment Score = 0.50, PRs Contributed = 3
Flaque: Sentiment Score = 0.22, PRs Contributed = 1
realdadfish: Sentiment Score = 0.38, PRs Contributed = 1
egek92: Sentiment Score = 0.48, PRs Contributed = 1
rmtheis: Sentiment Score = 0.49, PRs Contributed = 1
ryancford: Sentiment Score = 0.64, PRs Contributed = 1
rlazo: Sentiment Score = 0.96, PRs Contributed = 1
nanaze: Sentiment Score = 0.96, PRs Contributed = 1
antondaubert: Sentiment Score = 0.96, PRs Contributed = 1
dstefanox: Sentiment Score = 0.48, PRs Contributed = 1
shinwan2: Sentiment Score = 0.52, PRs Contributed = 1
jaredsburrows: Sentiment Score = 0.16, PRs Contributed = 4
matsuhiro: Sentiment Score = 0.36, PRs Contributed = 1
Muyangmin: Sentiment Score = 0.64, PRs Contributed = 8
Jekos: Sentiment Score = 0.96, PRs Contributed = 1
richardissuperman: Sentiment Score = 0.32, PRs Contributed = 1
